date,pred,ploba,label
20151214,1,0.6779451323427085,0
20151215,1,0.6786084601376309,0
20151216,1,0.5784629219092452,0
20151217,0,0.290686141064868,0
20151218,0,0.4721383119992003,0
20151221,0,0.47386440520974066,0
20151222,1,0.5966010005450908,0
20151224,1,0.5136313558447893,0
20151225,1,0.5861117647824665,0
20151228,1,0.5070560986053145,1
20151229,1,0.5281202227724406,1
20151230,0,0.45901656511622535,1
20160104,0,0.43278587674143804,1
20160105,1,0.6359572876297014,1
20160106,1,0.5814758848753607,1
20160107,1,0.6142423395199492,1
20160108,0,0.44081502376474535,1
20160112,1,0.5407703769473148,1
20160113,0,0.47202480928336404,1
20160114,1,0.5378624924011999,1
20160115,1,0.6710668446944622,1
20160118,1,0.5568052182362897,1
20160119,1,0.648076908580405,1
20160120,1,0.5023038929260214,1
20160121,1,0.6102744719868671,0
20160122,0,0.4578046748340818,0
20160125,0,0.42770990267593173,0
20160126,0,0.4920172843434315,0
20160127,0,0.25059667458911206,0
20160128,0,0.4577262608015019,0
20160129,1,0.6487907079744875,1
20160201,1,0.6310203468570145,1
20160202,1,0.6372098586351146,1
20160203,0,0.3833025204622883,1
20160204,1,0.688786562735034,1
20160205,1,0.5070977020032097,1
20160208,0,0.3241403623082741,1
20160209,1,0.5545458567712338,1
20160210,0,0.37363826808923867,1
20160212,1,0.6373631660529979,0
20160215,1,0.7197904538880565,0
20160216,1,0.6111630258173991,0
20160217,1,0.6419568519613746,0
20160218,0,0.2617531879941889,0
20160219,0,0.38061118531461285,0
20160222,1,0.7177322033696453,0
20160223,0,0.3796226794693622,0
20160224,0,0.39539827142763373,0
20160225,0,0.2877851853370026,0
20160226,0,0.39998721555366673,0
20160229,0,0.36018883232959253,0
20160301,0,0.1320476303016845,0
20160302,0,0.28578315014005096,0
20160303,0,0.4545848788948984,0
20160304,0,0.4916124276753747,0
20160307,0,0.46990247114021205,1
20160308,1,0.5775562153442801,0
20160309,0,0.374812968195992,0
20160310,0,0.2639635961395181,0
20160311,0,0.3113593436467393,0
20160314,0,0.22695225651231166,0
20160315,0,0.45556705834037003,0
20160316,0,0.150477763766821,0
20160317,0,0.41884404716275214,0
20160318,1,0.6122053100969286,0
20160322,0,0.3378489782499285,0
20160323,0,0.4892823442965135,0
20160324,0,0.11393150293978142,0
20160325,0,0.18995487021003604,1
20160328,0,0.16748956165523612,0
20160329,0,0.35732466619763587,1
20160330,0,0.2615302364926469,1
20160331,0,0.17699614774697797,1
20160401,0,0.2078570916658779,0
20160404,1,0.5620802278569704,0
20160405,0,0.43481978701617485,0
20160406,0,0.4541612484742309,0
20160407,1,0.7275929539317562,0
20160408,0,0.3399960147830692,0
20160411,1,0.5591221327160362,1
20160412,0,0.309545392638219,1
20160413,0,0.298558486281995,1
20160414,0,0.361985761599452,1
20160415,0,0.2687934188074459,1
20160418,0,0.3803723305889246,0
20160419,0,0.35830403000418704,0
20160420,0,0.4118661247967719,0
20160421,0,0.42843203467352464,0
20160422,1,0.6690912227283414,0
20160425,0,0.3851087030396949,0
20160426,0,0.4125576003508801,0
20160427,0,0.31039969841953896,0
20160428,0,0.425894458896377,1
20160502,1,0.5232688017034631,0
20160506,1,0.5726263869324657,0
20160509,1,0.5425117894763425,0
20160510,1,0.6050855279849107,0
20160511,0,0.45477189845228144,0
20160512,0,0.45741197033811243,0
20160513,0,0.3315249759720885,0
20160516,0,0.37143704690208545,0
20160517,0,0.3794693952511824,0
20160518,0,0.3432919065224826,0
20160519,0,0.46820952709048536,0
20160520,0,0.4712464135419022,0
20160523,0,0.37962822739672675,0
20160524,0,0.31606916856149353,0
20160525,0,0.32346314692008804,0
20160526,0,0.30444043903656537,0
20160527,0,0.4713528994440801,0
20160530,1,0.5148066512333135,0
20160531,0,0.32061277249006886,0
20160601,0,0.2829635429588574,0
20160602,0,0.3253957637297593,0
20160603,0,0.2702594899084918,0
20160606,1,0.5594926115953663,1
20160607,1,0.8455737577429848,1
20160608,1,0.6918244216897816,1
20160609,0,0.3489052144118937,1
