Date,pred,proba,label_100
20170104,1,0.6040653382597571,0
20170110,1,0.5216870236391662,0
20170111,0,0.4443085389008933,0
20170112,0,0.33553590129169053,0
20170113,0,0.24212306672393083,0
20170116,0,0.23041062000257856,0
20170117,0,0.33637870322563845,0
20170118,0,0.46212805985571714,0
20170120,0,0.41496739544414685,0
20170123,0,0.18687560440498305,0
20170124,0,0.3563044999224575,1
20170125,0,0.40346940758381855,0
20170126,0,0.348241234790651,0
20170127,0,0.3952364627185203,1
20170131,0,0.35052778710891147,0
20170203,1,0.6326503590337005,0
20170207,0,0.3448545937558709,0
20170208,0,0.3642830148141615,0
20170209,0,0.3841780384881346,1
20170210,0,0.4237236578440439,0
20170213,0,0.4342004089029435,0
20170214,0,0.34936394178374974,0
20170215,0,0.31465546322195376,0
20170216,0,0.3740291769321074,0
20170217,0,0.31332553793922713,0
20170220,0,0.23212155516375776,0
20170221,0,0.3327425065107973,0
20170222,0,0.2937185592879064,0
20170223,0,0.4367699001839739,0
20170224,0,0.2535640728758652,0
20170227,0,0.18386386740364768,0
20170228,0,0.23611345833055514,0
20170301,0,0.31480324297223367,0
20170302,0,0.30425150920118643,0
20170303,0,0.2828218098894336,0
20170306,0,0.07050461778403437,0
20170307,0,0.37152722225823837,0
20170308,0,0.30394393175567447,0
20170310,0,0.34108620121424815,0
20170313,0,0.1460762025781964,0
20170315,0,0.2611495755694686,0
20170316,0,0.19698453881518324,0
20170317,0,0.0035755387076322346,0
20170321,0,0.039090122188688625,0
20170322,0,0.3677000374531552,0
20170323,0,0.19638009174697085,0
20170324,0,0.2406159131488357,0
20170327,0,0.3639891213734731,0
20170328,0,0.1317697728311352,0
20170329,0,0.2561592817923426,1
20170330,0,0.19611800008331826,0
20170403,0,0.09873186325461547,0
20170404,0,0.2822824839060777,0
20170406,0,0.4502172346654491,0
20170407,1,0.5548355780862513,0
20170410,1,0.5150522119812017,0
20170412,1,0.7615507754454864,0
20170413,0,0.293519651136632,0
20170414,0,0.4568068071312512,0
20170417,0,0.36987829240333103,0
20170418,0,0.04300505654553572,1
20170419,0,0.1496034705657268,0
20170420,0,0.38136232234894923,1
20170421,0,0.31353588260239934,0
20170424,0,0.08277215448940954,0
20170425,0,0.3115136541777843,1
20170426,1,0.5847481730714535,1
20170427,0,0.22131083854229283,1
20170428,0,0.3514939178126757,1
20170502,0,0.18353232478521778,1
20170508,1,0.723123103252236,0
20170509,0,0.24044170496823986,0
20170510,0,0.3492661119811991,0
20170511,0,0.14893524953136303,0
20170512,0,0.07097828166329001,0
20170515,0,0.4170316290516796,0
20170516,0,0.09778252210189352,0
20170517,0,0.003963418650417613,0
20170518,0,0.09760073801667568,0
20170519,0,0.4027529714088597,0
20170522,0,0.11842295392174264,0
20170523,0,0.26058863276226796,0
20170524,0,0.2605925049636998,0
20170525,0,0.07728783171370975,0
20170526,0,0.026282718480894054,1
20170529,0,0.13029231381854395,0
20170530,0,0.1524602799711652,0
20170601,0,0.061514528616131756,0
20170602,0,0.12243051177843292,0
20170606,0,0.4260616385479128,0
20170607,0,0.35987405228062347,0
20170608,0,0.26691144196381267,0
20170609,0,0.09778336058327823,0
20170612,0,0.43054152406500434,0
20170613,0,0.15357151086105544,0
20170614,0,0.40596036884082587,0
20170615,0,0.15121138582794802,0
20170616,0,0.026911012842192984,0
20170619,1,0.6676380631658045,0
20170620,0,0.007359348624850182,0
20170621,0,0.0046077891474737495,0
20170622,0,0.005081143784201217,0
20170623,0,0.025803054385273562,0
20170626,0,0.22160027019205342,0
20170627,0,0.0749056047647227,0
20170628,0,0.00020915122926036547,0
20170629,0,0.07779258024341025,0
20170630,1,0.9545367003475536,0
20170703,0,0.055240275803900105,0
20170704,0,0.3156010007739381,0
20170705,0,0.381324081388172,0
20170707,0,0.33882560389343064,0
20170710,0,0.08432248835979018,0
20170711,0,0.057382243873536645,0
20170712,0,0.0789368568069233,0
20170713,0,0.2239004922429629,0
20170714,0,0.46588444954287445,0
20170718,0,0.49113070742776943,0
20170719,0,0.3725427707316707,0
20170720,0,0.19416024850731894,0
20170721,0,0.14469361893755178,0
20170724,0,0.3408315147211599,0
20170725,0,0.005566836527907512,0
20170726,0,0.00305377147392498,0
20170727,0,0.004896169294535191,0
20170728,0,0.2853980580156427,0
20170731,0,0.13447202586893423,0
20170801,0,0.04883439634948832,0
20170802,0,0.07765694098448081,0
20170804,0,0.46440920860807405,0
20170807,0,0.05250863464806462,1
20170808,1,0.5598427430674627,1
20170809,0,0.425662125404409,0
