Date,Actual,Predicted
20170104,-230.0,1.2063869597771362
20170110,0.0,2.6545207067398886
20170111,40.0,0.44578925435536465
20170112,-40.0,0.27939222901514515
20170113,-80.0,0.6013498477602167
20170116,15.0,1.391154305054493
20170117,-105.0,0.2865301788035671
20170118,25.0,0.542777765259003
20170120,-115.0,0.5457034407469337
20170123,50.0,6.793531560175228
20170124,136.09,0.22406264607661927
20170125,-155.0,-0.08037446005407581
20170126,-120.0,0.8897901112112324
20170127,144.0,0.44292690546048896
20170131,-218.0,0.15752826901593867
20170203,-85.0,0.6176767160106803
20170207,70.0,0.5558788349668528
20170208,75.0,0.4913543600097853
20170209,115.0,0.28879854633932733
20170210,-135.0,0.4790441611225938
20170213,-160.0,7.21030485500925
20170214,-160.0,0.37310003604571834
20170215,-140.0,0.6825449418408992
20170216,-95.0,0.6391605214036514
20170217,-125.0,0.413607505405824
20170220,-100.0,0.7574109108677292
20170221,-65.0,0.26078158721662853
20170222,-70.0,0.49869079559840696
20170223,-135.0,0.397400703903764
20170224,-145.0,0.39804419917165235
20170227,-136.0,2.5088549609242943
20170228,-235.0,2.453218912527407
20170301,-180.0,2.5479197557459385
20170302,-160.0,4.674168835883155
20170303,-155.0,2.1515721542885085
20170306,-150.0,-0.07930996644191735
20170307,-105.0,0.2182830461435454
20170308,-140.0,0.7449638686992511
20170310,-120.0,0.4575405058389863
20170313,85.0,1.1171136200316032
20170315,-40.0,0.012979135443501849
20170316,75.0,0.4774703371557053
20170317,5.0,0.5211835087185297
20170321,-90.0,1.0373808598434517
20170322,-125.0,1.2317212793321786
20170323,-115.0,-0.25849411622522467
20170324,-190.0,0.15714036108699028
20170327,-135.0,1.264352672165235
20170328,-110.0,2.1004384968543577
20170329,241.0,0.47853659382336056
20170330,74.0,0.1801135942279111
20170403,-101.0,1.0433486678992638
20170404,-25.0,0.8245727326021157
20170406,-10.0,0.9118571567777571
20170407,15.0,0.9008055841705587
20170410,5.0,-2.5287701502807343
20170412,-175.0,0.31101291284266197
20170413,-125.0,8.331268827208985
20170414,-140.0,17.853082955869432
20170417,90.0,0.6258060830287225
20170418,143.0,0.17863265514871793
20170419,25.0,0.28321839724821507
20170420,179.0,-0.15239229511003635
20170421,-10.0,-0.12694923662469704
20170424,76.0,1.236163818510742
20170425,491.0,-0.004511485524980652
20170426,313.0,0.22022876011738188
20170427,318.0,0.3716512563250113
20170428,130.0,1.0560542784809068
20170502,110.0,0.19497921321174724
20170508,-90.0,6.958558953610927
20170509,-100.0,0.18105553463716037
20170510,0.0,0.013285417461973481
20170511,85.0,0.8481200173942762
20170512,-25.0,1.0224904361320297
20170515,-100.0,0.8630145101499747
20170516,-65.0,0.06418295250350822
20170517,-110.0,0.02135227280874405
20170518,-155.0,0.3880717631639538
20170519,-165.0,0.06888720349730776
20170522,-155.0,0.8422615683409954
20170523,-160.0,0.2603953542003626
20170524,-120.0,-0.6717170112668502
20170525,68.0,-0.915962752387083
20170526,148.0,-2.013221347483301
20170529,-60.0,2.6069667478543987
20170530,58.0,0.821237559514994
20170601,-20.0,-1.2236294626572635
20170602,-90.0,-0.512104482022175
20170606,-115.0,0.06067098525321418
20170607,-120.0,0.22657513379588673
20170608,-160.0,0.15498192891565493
20170609,-155.0,0.4935053422605624
20170612,-45.0,0.7997271547118938
20170613,-45.0,0.7986770521355506
20170614,-55.0,0.6636962417896669
20170615,-50.0,0.8979480265530437
20170616,-2.25,0.8056516679487311
20170619,-40.0,0.9175217206525588
20170620,-95.0,0.892925208675326
20170621,-95.0,0.30530342561577983
20170622,-45.0,0.18244823583317993
20170623,-95.0,0.22185449088577625
20170626,-90.0,1.1317147439323052
20170627,15.0,0.3804729479740699
20170628,-65.0,0.16702474210696755
20170629,93.0,-0.2910004104390478
20170630,-150.0,-0.5984199299082048
20170703,-180.0,1.2013073174320466
20170704,-133.0,0.7258977237009476
20170705,-165.0,0.39830478427419697
20170707,-225.0,0.4248926837706019
20170710,-225.0,0.3012179585832462
20170711,-180.0,0.7847203630721696
20170712,-160.0,1.2628577772663498
20170713,-105.0,0.917956212183749
20170714,-140.0,0.9055142022263183
20170718,-125.0,0.5602037223670716
20170719,-105.0,0.928486582555699
20170720,-90.0,1.0188784746745516
20170721,-50.0,0.43033956558327313
20170724,-105.0,0.3428332125845417
20170725,-85.0,-0.26140735518984937
20170726,-100.0,-0.24091906064714502
20170727,-120.0,0.6177968645474272
20170728,-143.0,1.9170307984570338
20170731,-110.0,0.8689983008078674
20170801,-60.0,0.3939865001337278
20170802,-10.0,0.27471289837637014
20170804,-20.0,0.48589224323734936
20170807,140.0,1.0278219261669412
20170808,245.0,0.9012714102477212
20170809,80.0,0.6889502702277173
20170810,-15.0,0.33800097308980565
20170814,-190.0,1.825535225320917
20170815,-115.0,1.2742047176882445
20170816,0.0,1.3914993968669866
20170817,-10.0,0.9356514810868093
20170818,-215.0,0.5630762286703346
20170821,-125.0,2.0392845555588455
20170822,-125.0,0.5284996556003503
20170823,-90.0,0.41332687767002807
20170824,9.0,0.4966059246302248
20170825,-50.0,1.104293797617423
20170828,-110.0,1.3521891907409622
20170829,-150.0,0.27616118744513873
20170830,10.0,-0.2632105489322756
20170831,40.0,0.018696215328711074
20170904,-170.0,1.2940424473421528
20170905,-95.0,0.08363295165909995
20170906,0.0,1.027208524648663
20170907,-65.0,0.8551833246018624
20170908,45.0,0.8688893891579939
20170911,90.0,4.523456569139538
20170912,105.0,-34.411744556239874
20170913,150.0,1.1155523226806316
20170914,170.0,1.1654756558530939
20170915,135.0,1.055809419786957
20170919,-55.0,0.558987888799363
20170920,-85.0,0.49256766125938434
20170921,-110.0,0.8949991064558713
20170922,-95.0,0.9220365078399476
20170925,-100.0,1.4336311233069108
20170927,51.0,0.5762533228220272
20170928,15.0,0.2566639291326879
20170929,76.0,-0.1262566778494117
20171002,197.0,-40.084896319940526
20171003,105.0,-66.10711011475756
20171004,-10.0,20.794660471213486
20171005,275.0,-12.55592353126496
20171006,195.0,0.5335842055925432
20171011,240.0,0.26995878004041496
20171012,90.0,1.4756949275627445
20171013,215.0,11.97121832924663
20171016,30.0,-6.354047219219757
20171017,15.0,0.9062309372446962
20171018,130.0,1.3660185926562882
20171019,-5.0,1.1876337949400946
20171020,155.0,0.6799908116891711
20171023,-125.0,2.7534046930115963
20171024,344.0,0.9149880808888392
20171025,178.0,0.5866780605098034
20171026,349.0,1.2544725544500768
20171027,300.0,0.8828239481771136
20171030,256.0,1.1187963984078864
20171031,250.0,0.6902996947071678
20171101,300.0,1.0263184200781663
20171102,-20.0,-4.372636912076453
20171106,-20.0,-3.479617090154237
20171107,30.0,2.9167649540404033
20171108,45.0,0.9758558404203895
20171109,125.0,0.6540174029870007
20171110,-110.0,38.474405574416295
20171113,25.0,0.1947797937708781
20171114,-120.0,0.8253615928735626
20171115,-175.0,0.5211211893117731
20171116,175.0,1.067096818710128
20171117,-270.0,1.763003163248282
20171120,-215.0,0.9486234723815535
20171121,-210.0,1.382527503293967
20171122,-210.0,0.9985769358105911
20171124,-85.0,1.1041838360334073
20171127,-270.0,1.4476177941285937
20171128,-270.0,11.740102300681523
20171201,-31.7,-20.047336409718753
20171204,-6.7,-0.9195371210146475
20171205,-205.0,9.267119115357835
20171206,-165.0,-1.4670286910413357
20171207,48.3,-0.8004644949970215
20171208,-240.0,13.858976576697374
20171211,-180.0,-10.379477070071824
20171212,-170.0,-66.20399274281857
20171213,-155.0,-1.337498268975733
