date,pred,ploba,label
20141211,1,0.5688218885874652,0
20141212,1,0.6853775456001296,0
20141215,1,0.8087329677565959,0
20141216,1,0.6391260611328624,0
20141217,1,0.7865480938814662,0
20141218,1,0.6361320562163516,0
20141219,1,0.5611633535149954,0
20141222,1,0.5188445459530865,0
20141224,1,0.567908495174049,0
20141225,1,0.5137950714352314,0
20141226,1,0.59506112467503,0
20141229,1,0.5297837010474421,0
20141230,1,0.5034158832959944,0
20150105,1,0.5589433005493798,0
20150106,1,0.6063969989605564,0
20150107,1,0.6943032537708853,0
20150108,1,0.6920869009241647,0
20150109,1,0.585434819605372,0
20150113,1,0.6081319720556697,0
20150114,1,0.5076735040369043,0
20150115,1,0.5197170013567877,0
20150116,0,0.4969114680640921,0
20150119,1,0.569039713779655,0
20150120,1,0.5396268364417499,0
20150121,1,0.5396268364417499,0
20150122,1,0.5231955275954754,0
20150123,1,0.5767718676025437,0
20150126,1,0.6197726539749442,0
20150127,1,0.8418892290424743,0
20150128,1,0.6195731440736317,0
20150129,1,0.5509776700253444,0
20150130,0,0.27895763073879143,0
20150202,0,0.4819411848045321,0
20150203,0,0.42577455223181565,0
20150204,0,0.47904511970404984,0
20150205,1,0.7835972623556104,0
20150206,1,0.7127428641729824,0
20150209,0,0.26726936745512725,0
20150210,0,0.33482585913578183,0
20150212,0,0.37788241215170404,0
20150213,1,0.624385081036773,0
20150216,0,0.47827585360976876,0
20150217,0,0.3901471340071802,0
20150218,1,0.8426707330324134,0
20150219,0,0.4257437205726404,0
20150220,0,0.3659708139674084,0
20150223,0,0.2595295057242723,0
20150224,0,0.260910879039121,0
20150225,1,0.6329554314422713,0
20150226,1,0.6064424605279537,0
20150227,1,0.5463500589746935,0
20150302,0,0.3133379233584104,0
20150303,0,0.4228193898328214,0
20150304,0,0.4136048218838049,0
20150305,1,0.6696658949025637,0
20150306,1,0.7931858077032434,0
20150309,0,0.3227205273386806,0
20150310,0,0.2484064126666488,0
20150311,0,0.32720010417469153,0
20150312,0,0.2743486228237049,0
20150313,0,0.43605515815004336,0
20150316,0,0.42971053976266127,0
20150317,0,0.18445540893604928,0
20150318,0,0.17465561565810686,0
20150319,0,0.3283601518776114,0
20150320,1,0.5335678019797816,1
20150323,0,0.3703515356551062,0
20150324,0,0.18687183083859288,0
20150325,0,0.4285628335088378,1
20150326,0,0.016431788620872294,0
20150327,0,0.28417156805896565,0
20150330,1,0.6363084197405326,0
20150331,1,0.5998794524299734,0
20150401,1,0.6106581041495727,0
20150402,1,0.7355758746802759,0
20150403,1,0.7806370727474721,0
20150406,0,0.4922234454656014,0
20150407,0,0.4665489452431537,0
20150408,1,0.638098179848508,0
20150409,0,0.43814735118059317,0
20150410,0,0.30204827646407134,0
20150413,0,0.2479752583969946,0
20150414,0,0.4088355732345286,0
20150415,0,0.46345571815472986,0
20150416,0,0.4497012691145595,0
20150417,0,0.45137031880596346,0
20150420,1,0.5581701969429952,0
20150421,0,0.39372908682293106,0
20150422,0,0.34160943500304736,0
20150423,0,0.4577628922804806,0
20150424,1,0.5528239518336087,0
20150427,1,0.524416124367659,0
20150428,0,0.4687071809306787,0
20150430,1,0.5402061157211755,0
20150501,1,0.7499840866837361,0
20150507,1,0.5723022311050306,0
20150508,1,0.506186319508171,0
20150511,1,0.7862937451171517,0
20150512,1,0.6466403324297633,0
20150513,1,0.593191403574674,0
20150514,1,0.5345584012877878,0
20150515,1,0.6943141862026949,0
20150518,0,0.038952532499324746,0
20150519,0,0.22977859446949425,0
20150520,1,0.5290343554680565,0
20150521,0,0.4399707860440254,0
20150522,0,0.4421661116283646,0
20150525,1,0.5307551059810615,0
20150526,1,0.5169301806420219,0
20150527,0,0.3814017358893006,0
20150528,0,0.2232464305910471,0
20150529,1,0.7548872880368955,0
20150601,0,0.4891865806902058,0
20150602,0,0.40057922473444424,0
20150603,1,0.5878864735995062,0
20150604,0,0.45316723767945427,0
20150605,0,0.42027050312722153,0
20150608,0,0.44166652122170236,0
20150609,0,0.4169678552641832,0
20150610,1,0.53344430395511,0
20150611,1,0.5590044712455565,0
20150612,1,0.5054933096688108,0
20150615,1,0.5881214694664284,0
20150616,0,0.4351743734657952,0
20150617,0,0.48992716012823684,0
20150618,1,0.6454665701194185,0
20150619,1,0.5842116705211245,0
20150622,1,0.5197876483051853,1
20150623,0,0.49942588944987926,1
20150624,1,0.5212688930007442,1
20150625,1,0.5321100917431193,1
20150626,0,0.487190399398266,1
20150629,1,0.5915265418020282,0
20150630,1,0.5593621383213495,0
20150701,0,0.45695395874284656,1
20150702,1,0.598367516394158,1
20150703,1,0.5873667158435735,1
20150706,0,0.4309557905099098,1
20150707,1,0.5701119461576104,1
20150708,0,0.358623408358716,0
20150709,1,0.5912121704239929,0
20150710,1,0.5919331537314332,0
20150713,0,0.4748454006729087,0
20150714,1,0.522607468468542,0
20150715,1,0.5181802861473109,0
20150716,1,0.5668214347929768,0
20150717,1,0.5281121488377636,0
20150721,1,0.5524694335201891,1
20150722,0,0.40020071214555397,0
20150723,0,0.42358958535733604,0
20150724,0,0.42882190554863886,0
20150727,1,0.5957433054191152,0
20150728,1,0.6134225690725884,0
20150729,0,0.48626786747309664,0
20150730,0,0.4974023530417629,0
20150731,0,0.46028565417277556,0
20150803,0,0.4195360693873788,0
